-23.662185350202517, -46.43637781549507
-23.662337666166305, -46.43635367517784
-23.662526832772606, -46.43630807691587
-23.66264229812266, -46.436267843201755
-23.662762675205272, -46.43624638918683
-23.662959210399283,-46.4362088374481
-23.663113981807637,-46.43617933238484
-23.663207335913615,-46.436147145338886
-23.663330170326393,-46.43611764026101
-23.663465288200182,-46.43608545278912
-23.66359549286381,-46.43606668082925
-23.66383133359214,-46.43599694218736
-23.663887837008875,-46.43596475531235
-23.663801852119274,-46.43577431870716
-23.663664276024537,-46.4355168270954
-23.663585660350172,-46.43532639029478
-23.663467736893956,-46.43510108481452
-23.66338421583241,-46.435007207286404
-23.663160656910364,-46.43495088240958
-23.662988687976814,-46.43486773509317
-23.663047647838074,-46.43479263275956
-23.6631139778391,-46.4347282591125
-23.6631827647211,-46.43468534307184
-23.663224527929106,-46.434634380557114
-23.66331542512893,-46.43460487527081
